playlist_rank,playlist_id,playlist_name,playlist_size,playlist_is_public,playlist_is_collaborative
1,5YSWJV8CuC6a2KK2zArskA,Bedroom Playlist 2022 🔥,79,False,False
2,37i9dQZF1F0sijgNaJdgit,Your Top Songs 2022,101,False,False
3,3tYZ75BHgXbPFNkw7LIFiU,Cloud Admin Alumni,4,False,False
4,6kKxTt6LEK9d2Qy6cFNI9K,My Playlist #166,0,False,False
5,1GqSX1jl7Liw1Zp1FGzTP9,THE GOOD SHIT,26,False,False
6,2z0FUpoDtfS5uIMXGT0iYN,Best of 2010s Rap,201,False,False
7,2wFdmI29YuTkiJCnI9DPLX,Mix,353,True,False
8,5jKkHPUXGZHitWujNXQREE,Best '90s Alternative Playlist Ever,167,False,False
9,0L0wAwqqzBYz3u6lw0XcrB,9-5 House Party,30,False,False
10,4aCeSine9kkn1dHi1Ozv3o,Falling Transitions,53,False,False
11,1F7AISjKoMMH1fll4nt16l,Rap,1,False,False
12,37i9dQZF1DXaRycgyh6kXP,Electronica Romantica,100,False,False
13,37i9dQZF1DX1tyCD9QhIWF,Walk Like A Badass,60,False,False
14,7Fsb4RQMLPx8zvJWkiTf1w,Ship wreck,1,False,False
15,37i9dQZF1DWYYeI1QdFxzU,The Wind Down,50,False,False
16,1Bd8liSg6gwrCryjqK2yjB,finally summer,49,False,False
17,5QzecIwN093f3V2YgEpDyT,Energizing Rap/Lifting,295,False,False
18,6GWRrnlUUQdNLk7kwloLxQ,Jammin,5,False,False
19,37i9dQZF1DXdpVGstUksUC,Stoner Rock,100,False,False
20,4YDzyYveoyDnXmSUfQprml,OLD DRAKE BANGERS,119,False,False
21,4Rm70Q9HvG3A6Rmkuja3TC,away 🦭,7,False,False
22,09Xi1EbHBxeGU7pYtgI07m,False Start Spring,44,False,False
23,5zHP6y9XuzEXgZfrKumvHH,My Playlist #158,0,False,False
24,70AywvH4PxJT1fBRXIyBxY,MAR22,3,False,False
25,61uAKhLSW2lIy4foVWkwvZ,Dancetronauts,22,False,False
26,7BQovE4IQyNDqzlCYz7qrC,My Playlist #155,0,False,False
27,3ebHKSjHujS4Tyt2KKP97R,Retrowave Synthwave,203,False,False
28,6w6nDhChAvIeQooRq5ljnD,X,16,True,False
29,6Dla1HTAymyvV0BftvX1qv,Brrrr,16,True,False
30,1aa9uA2MMGRsUFBqmwg0w0,TAKEOFF,2,True,False
31,3icceIWSKZSA24GANzf0Ny,leather boots,16,True,False
32,4n4sF66eAiH0AwMO0Tmkba,"Soul & Groove 70s/80s and more, the ultimate Guide & Playlist",2893,False,False
33,1JAfcT5sDfYwrMhOir8w8D,Classic/Alternative Rock,2947,False,False
34,6tEtZCUHkbhmVEGsZhKVFq,Classic Alternative,365,False,False
35,37i9dQZF1EUMDoJuT8yJsl,Your Top Songs 2021,100,False,False
36,10eI16mAhbh0bUsUNIXX2r,Entourage End Credits,92,False,False
37,0h3HliuqvZQi2wsnmaQe55,~ FLOW ~,17,True,False
38,62zaWgEWM3DjoXygxhksmS,Writing Flow,767,False,False
39,6mQTefg62srJY6ZzOFPDYZ,My Playlist #148,0,True,False
40,6TeyryiZ2UEf3CbLXyztFA,Classic Rock Greatest Hits,3053,False,False
41,37i9dQZF1EIY7aN1lJe2Js,Cristoph Mix,50,False,False
42,37i9dQZF1E4yLltmVk3nyb,Bonobo Radio,50,False,False
43,7btI3pNxQcAXcUljmlxfM1,High,6,True,False
44,0ydOLn2yFSreCuOUMIcPbQ,Spanish,1,True,False
45,6dnWROK0VQbTyzDT33d6AC,Middle School Emo Phase,74,False,False
46,0wZpEIQcrMiY8w6eYBvpls,Classics 🤩,377,False,False
47,5vUhMFTYxPlLcdpv60jTdz,Hamptons Summer 2021,103,False,False
48,1FkRHM7RCfRyc0td2R9GEu,NYC FASHION WEEK™,187,False,False
49,12dE9p81Xg36dXMKS6fMIE,My Playlist #145,0,True,False
50,2oSFhG3jqw3L1OPecdUHEo,poolside fm 🏖,500,False,False
