artist_rank,artist_id,artist_name,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,3TVXtAsR1Inumwj472S9r4,Drake,98,70105736,canadian hip hop,"canadian pop, hip hop, rap, toronto rap"
2,2CIMQHirSU0MQqyYHq0eOx,deadmau5,69,2764387,canadian electronic,"edm, electro house, pop dance, progressive house"
3,2NjfafEappzvGGGDdMRJMP,Azizi Gibson,52,146469,dark trap,underground hip hop
4,30uiS1n3uIGXJEYFR1GVDy,The Brian Jonestown Massacre,54,313845,alternative rock,"bay area indie, chamber psych, neo-psychedelic, shoegaze"
5,6y80I9YZi4DOpbaSUlL725,Shlohmo,48,237633,downtempo,"electronica, glitch, uk bass, wonky"
6,6LHsnRBUYhFyt01PdKXAF5,Bob Moses,61,322771,canadian electronic,"canadian house, edm"
7,4pejUc4iciQfgdX6OKulQn,Queens of the Stone Age,70,3117236,alternative metal,"alternative rock, blues rock, modern rock, nu metal, palm desert scene, rock, stoner metal, stoner rock"
8,0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,82,6211700,hip hop,"ohio hip hop, rap"
9,6ekYAO2D1JkI58CF4uRRqw,Tigercub,45,31169,brighton indie,"modern alternative rock, modern rock"
10,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,84,7850370,east coast hip hop,"hip hop, rap"
11,1URnnhqYAYcrqrcwql10ft,21 Savage,94,12345619,atl hip hop,rap
12,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,81,9086800,electro,filter house
13,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,80,7667022,alternative rock,"art rock, melancholia, oxford indie, permanent wave, rock"
14,3XHO7cRUPCLOr6jwp8vsx5,alt-J,71,3092863,indie rock,modern rock
15,5tDjiBYUsTqzd0RkTZxK7u,Ben Böhmer,66,347640,,
16,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,91,18956171,chicago rap,rap
17,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,73,4244546,alternative metal,"alternative rock, grunge, permanent wave, pop rock, rock, spacegrunge"
18,3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,66,2155202,baroque pop,"canadian indie, indie rock, modern rock, permanent wave, quebec indie, rock"
19,6VTvaLJ9arNmKi8e1ekOwW,cleopatrick,54,179234,modern alternative rock,"modern rock, rock"
20,6Th7POyVfZgiHJQ64ddV5Y,Rodriguez Jr.,48,92511,deep disco house,"electronica, french tech house, microhouse, minimal tech house, minimal techno, organic house, tech house"
21,5Pb27ujIyYb33zBqVysBkj,RÜFÜS DU SOL,72,1164935,australian electropop,"edm, indietronica"
22,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,90,19631953,art pop,pop
23,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,54944379,canadian contemporary r&b,"canadian pop, pop"
24,0ygIgsjUzKivFgxgjQ9iV9,Jacques Greene,41,83407,canadian electronic,"electronica, float house, future garage, uk bass, wonky"
25,1v9FPBHwuI4FjR7ewOifmJ,Public Memory,42,42474,dark post-punk,electronica
26,55Aa2cqylxrFIXC767Z865,Lil Wayne,86,12943576,hip hop,"new orleans rap, pop rap, rap, trap"
27,0WSSKmoRbxqLf3MnXInQ2J,Max Cooper,50,151700,electronica,"microhouse, minimal techno, modular synth, tech house"
28,2ABBMkcUeM9hdpimo86mo6,Tourist,57,156905,electronica,"indie soul, tropical house, vapor soul"
29,75mafsNqNE1WSEVxIKuY5C,IDLES,60,498786,bristol indie,modern rock
30,2uFUBdaVGtyMqckSeCl0Qj,Ludovico Einaudi,79,2847251,bow pop,"compositional ambient, neo-classical"
31,5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,72,3433929,gangster rap,"hip hop, pop rap, rap, southern hip hop, trap, underground hip hop"
32,1tRBmMtER4fGrzrt8O9VpS,Hot Since 82,51,258439,deep disco house,"house, uk house"
33,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,84,10378231,hip hop,"lgbtq+ hip hop, neo soul, pop"
34,7LJSAfWhO7jhjnewy6pKyZ,Kyle Watson,50,96345,bass house,"edm, electro house, fidget house, house"
35,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,84,24198771,beatlesque,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
36,532SqCIYmJyXEdEiCJLgYG,Cristoph,55,51773,house,progressive house
37,6olE6TJLqED3rqDCT0FyPh,Nirvana,82,16521538,grunge,"permanent wave, rock"
38,1l9d7B8W0IHy3LqWsxP2SH,Phantogram,68,732690,indietronica,"metropopolis, modern rock"
39,3tSvlEzeDnVbQJBTkIA6nO,Christian Löffler,56,236592,electronica,"hamburg electronic, minimal techno, organic electronic, pop ambient"
40,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,86,18684151,conscious hip hop,"hip hop, north carolina hip hop, rap"
41,7vjRpVXoecwKTEsrb9iscj,Jadu Heart,59,92688,indie soul,vapor soul
42,2pqd3HsfsvcBGtHvPOg6eg,Highly Suspect,61,543759,modern alternative rock,"modern rock, post-grunge, rock"
43,776Uo845nYHJpNaStv1Ds4,Jimi Hendrix,71,5951259,acid rock,"album rock, blues rock, classic rock, hard rock, proto-metal, psychedelic rock, rock"
44,4LdZNE5MHGqvc0N9ivXNF3,The Joy Formidable,38,118948,indie rock,"metropopolis, nu gaze, welsh indie, welsh rock"
45,3sb3yLRnhW2L2ulU93eKfl,Beacon,45,36265,chillwave,"electronica, shiver pop, vapor soul"
46,0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,71,912970,melodic rap,"rap, slap house, trap"
47,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,91,21577044,rap,slap house
48,3ifxHfYz2pqHku0bwx8H5J,Amtrac,50,87013,edm,"electronica, indie soul, nu disco, tropical house"
49,5MbNzCW3qokGyoo9giHA3V,EARTHGANG,66,746442,atl hip hop,"hip hop, psychedelic hip hop, rap, underground hip hop"
50,3EnbnmqrrvApHJs6FMvYik,Elder Island,50,148106,electronica,"indie soul, vapor soul"
