track_rank,track_id,track_name,artists,track_duration,track_is_explicit,track_popularity,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,1IWYEJtR17xxPwJ3vuxsh6,We Gon Ride,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7gWumE1wMALHXANLSIt054'}, 'href': 'https://api.spotify.com/v1/artists/7gWumE1wMALHXANLSIt054', 'id': '7gWumE1wMALHXANLSIt054', 'name': 'Dreezy', 'type': 'artist', 'uri': 'spotify:artist:7gWumE1wMALHXANLSIt054'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo'}, 'href': 'https://api.spotify.com/v1/artists/13y7CgLHjMVRMDqxdx0Xdo', 'id': '13y7CgLHjMVRMDqxdx0Xdo', 'name': 'Gucci Mane', 'type': 'artist', 'uri': 'spotify:artist:13y7CgLHjMVRMDqxdx0Xdo'}]",3.744,True,35,5D8kaq2gEsI1zaha675eIy,No Hard Feelings,2016,album,Dreezy,Gucci Mane,7gWumE1wMALHXANLSIt054,13y7CgLHjMVRMDqxdx0Xdo,0.712,0.644,1,-6.585,1,0.13,0.0193,0.000189,0.0917,0.253,54,681397,alternative r&b,"chicago rap, drill, escape room, hip pop, pop r&b, r&b, trap queen, viral rap"
2,4V9ynsDPwHtdItksqjuRu0,Brand New Draco,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft'}, 'href': 'https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft', 'id': '1URnnhqYAYcrqrcwql10ft', 'name': '21 Savage', 'type': 'artist', 'uri': 'spotify:artist:1URnnhqYAYcrqrcwql10ft'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp'}, 'href': 'https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp', 'id': '0iEtIxbK0KxaSlF7G42ZOp', 'name': 'Metro Boomin', 'type': 'artist', 'uri': 'spotify:artist:0iEtIxbK0KxaSlF7G42ZOp'}]",3.373666666666667,True,66,6wTyGUWGCilBFZ837k5aRi,SAVAGE MODE II,2020,album,21 Savage,Metro Boomin,1URnnhqYAYcrqrcwql10ft,0iEtIxbK0KxaSlF7G42ZOp,0.697,0.709,11,-6.642,0,0.298,0.041,0.000296,0.0886,0.439,94,12345619,atl hip hop,rap
24,6pcywuOeGGWeOQzdUyti6k,Glock In My Lap,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft'}, 'href': 'https://api.spotify.com/v1/artists/1URnnhqYAYcrqrcwql10ft', 'id': '1URnnhqYAYcrqrcwql10ft', 'name': '21 Savage', 'type': 'artist', 'uri': 'spotify:artist:1URnnhqYAYcrqrcwql10ft'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp'}, 'href': 'https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp', 'id': '0iEtIxbK0KxaSlF7G42ZOp', 'name': 'Metro Boomin', 'type': 'artist', 'uri': 'spotify:artist:0iEtIxbK0KxaSlF7G42ZOp'}]",3.2265166666666665,True,84,6wTyGUWGCilBFZ837k5aRi,SAVAGE MODE II,2020,album,21 Savage,Metro Boomin,1URnnhqYAYcrqrcwql10ft,0iEtIxbK0KxaSlF7G42ZOp,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,94,12345619,atl hip hop,rap
3,7yn7I3kHSr19pwLGUwE7f1,C-R-E-W,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6D96m0U03CqX1KdjAwZjm6'}, 'href': 'https://api.spotify.com/v1/artists/6D96m0U03CqX1KdjAwZjm6', 'id': '6D96m0U03CqX1KdjAwZjm6', 'name': 'Village', 'type': 'artist', 'uri': 'spotify:artist:6D96m0U03CqX1KdjAwZjm6'}]",3.42885,False,56,5srAxFctrEmD33xL1H0L4P,C-R-E-W,2018,album,Village,,6D96m0U03CqX1KdjAwZjm6,,0.623,0.82,8,-7.656,1,0.0582,0.00896,0.0516,0.151,0.133,47,10352,future bass,"neurostep, new french touch, vapor soul, vapor twitch"
4,1VccakS3c7IZSZlkKsFOwD,HR 8938 Cephei,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2CIMQHirSU0MQqyYHq0eOx'}, 'href': 'https://api.spotify.com/v1/artists/2CIMQHirSU0MQqyYHq0eOx', 'id': '2CIMQHirSU0MQqyYHq0eOx', 'name': 'deadmau5', 'type': 'artist', 'uri': 'spotify:artist:2CIMQHirSU0MQqyYHq0eOx'}]",10.811016666666667,False,32,64oxIrPosCNuF1dI2d8ARb,HR 8938 Cephei,2011,album,deadmau5,,2CIMQHirSU0MQqyYHq0eOx,,0.694,0.659,1,-13.304,0,0.0362,0.0469,0.871,0.0964,0.0338,69,2764387,canadian electronic,"edm, electro house, pop dance, progressive house"
35,5ufaAwg46yyNGdgkDz987H,luxuria (ov) - Tinlicker Remix,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2CIMQHirSU0MQqyYHq0eOx'}, 'href': 'https://api.spotify.com/v1/artists/2CIMQHirSU0MQqyYHq0eOx', 'id': '2CIMQHirSU0MQqyYHq0eOx', 'name': 'deadmau5', 'type': 'artist', 'uri': 'spotify:artist:2CIMQHirSU0MQqyYHq0eOx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5EmEZjq8eHEC6qFnT63Lza'}, 'href': 'https://api.spotify.com/v1/artists/5EmEZjq8eHEC6qFnT63Lza', 'id': '5EmEZjq8eHEC6qFnT63Lza', 'name': 'Tinlicker', 'type': 'artist', 'uri': 'spotify:artist:5EmEZjq8eHEC6qFnT63Lza'}]",6.9064,False,36,4sfJkir9qAPD7UqzG3z3uV,here's the drop!,2019,album,deadmau5,Tinlicker,2CIMQHirSU0MQqyYHq0eOx,5EmEZjq8eHEC6qFnT63Lza,0.562,0.917,9,-6.196,0,0.0351,0.00027,0.935,0.0653,0.0681,69,2764387,canadian electronic,"edm, electro house, pop dance, progressive house"
5,2RB8WxKeQZ0IwQ1h2NZG1V,Hold Me Up - Live 2020,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6LHsnRBUYhFyt01PdKXAF5'}, 'href': 'https://api.spotify.com/v1/artists/6LHsnRBUYhFyt01PdKXAF5', 'id': '6LHsnRBUYhFyt01PdKXAF5', 'name': 'Bob Moses', 'type': 'artist', 'uri': 'spotify:artist:6LHsnRBUYhFyt01PdKXAF5'}]",2.4,False,21,0N1KUVKv32c0QdvcVfGExE,Falling into Focus (Live 2020),2020,album,Bob Moses,,6LHsnRBUYhFyt01PdKXAF5,,0.611,0.889,2,-7.775,0,0.126,0.0459,0.482,0.119,0.0706,61,322771,canadian electronic,"canadian house, edm"
6,1DAR4tG7BNcrRIZDOM2YSV,Blunt Sword (feat. GN),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6ZHeg2Op5ZkNppXbNLSglj'}, 'href': 'https://api.spotify.com/v1/artists/6ZHeg2Op5ZkNppXbNLSglj', 'id': '6ZHeg2Op5ZkNppXbNLSglj', 'name': 'Willaris. K', 'type': 'artist', 'uri': 'spotify:artist:6ZHeg2Op5ZkNppXbNLSglj'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7wyg5nKOYTihAHE1iBtAa7'}, 'href': 'https://api.spotify.com/v1/artists/7wyg5nKOYTihAHE1iBtAa7', 'id': '7wyg5nKOYTihAHE1iBtAa7', 'name': 'GN', 'type': 'artist', 'uri': 'spotify:artist:7wyg5nKOYTihAHE1iBtAa7'}]",4.136516666666667,False,6,72FEwgKh5LI4PcSeQuXj7u,Full Noise,2020,album,Willaris. K,GN,6ZHeg2Op5ZkNppXbNLSglj,7wyg5nKOYTihAHE1iBtAa7,0.725,0.654,8,-9.081,1,0.2,0.295,0.916,0.105,0.39,34,17750,aussietronica,
14,7m3b3cy2nRSeIGuD1k4Ccv,Dour Nights,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6ZHeg2Op5ZkNppXbNLSglj'}, 'href': 'https://api.spotify.com/v1/artists/6ZHeg2Op5ZkNppXbNLSglj', 'id': '6ZHeg2Op5ZkNppXbNLSglj', 'name': 'Willaris. K', 'type': 'artist', 'uri': 'spotify:artist:6ZHeg2Op5ZkNppXbNLSglj'}]",5.19725,False,3,7AebBhH8sP7dUAw1yJmiXb,Alchemy,2018,album,Willaris. K,,6ZHeg2Op5ZkNppXbNLSglj,,0.629,0.863,9,-6.99,0,0.0376,0.244,0.231,0.0903,0.04,34,17750,aussietronica,
7,5IQynlcf86jvfQYj2UkYXJ,Strained Are We,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/450wFwmuEK6ytahAaWlhbX'}, 'href': 'https://api.spotify.com/v1/artists/450wFwmuEK6ytahAaWlhbX', 'id': '450wFwmuEK6ytahAaWlhbX', 'name': 'UNDERHER', 'type': 'artist', 'uri': 'spotify:artist:450wFwmuEK6ytahAaWlhbX'}]",7.0674166666666665,False,31,7I7HkWDAGmsNIrDpkH3pAI,Dark Souls EP,2018,album,UNDERHER,,450wFwmuEK6ytahAaWlhbX,,0.591,0.473,0,-12.192,0,0.0389,0.00461,0.313,0.0846,0.193,34,9277,canadian electronic,organic house
